FID,lat,lon,Avg_m2pr_1
0,55.5845985,12.6556997,17750
1,55.5838013,12.6577997,15926.28289
2,55.5858002,12.6599998,21081.28628
3,55.5872002,12.6602001,19767.44186
4,55.5863991,12.6622,19186.04651
5,55.5919991,12.6584997,16246.87005
6,55.593399,12.6585999,17051.42857
7,55.5936012,12.6732998,19767.44186
8,55.5942993,12.6712999,20942.2648
9,55.5956993,12.6714001,17631.57895
10,55.6114998,12.3592997,13170.76135
11,55.6120987,12.3613997,11410.87043
12,55.6128998,12.3593998,11608.54189
13,55.6127014,12.3635998,12763.10562
14,55.6147003,12.3657999,11521.32142
15,55.6139984,12.3678999,11630.68691
16,55.6153984,12.368,14875
17,55.6194,12.3683004,14408.60215
18,55.6231995,12.3811998,13328.79762
19,55.6237984,12.3832998,12351.50181
20,55.6253014,12.3793001,10981.35924
21,55.6245003,12.3813,12620.35324
22,55.6251984,12.3835001,12509.30578
23,55.6267014,12.3794003,13250.1801
24,55.6264992,12.3836002,11722.08312
25,55.6258011,12.3856001,12900.57195
26,55.6273003,12.3815002,12102.8374
27,55.6288986,12.4925003,14897.3064
28,55.6299019,12.4821997,12837.83784
29,55.6258011,12.6239996,16343.28358
30,55.6264,12.6261997,14923.34406
31,55.6332016,12.4886999,15263.88889
32,55.6338005,12.4909,14959.63766
33,55.6309013,12.6140003,16541.97684
34,55.6301003,12.6161003,17338.70968
35,55.6357994,12.4931002,14639.00923
36,55.6307983,12.6412001,13309.85915
37,55.6314011,12.6434002,16343.05506
38,55.6369019,12.4785995,15927.16049
39,55.6375008,12.4806995,11756.13831
40,55.6327019,12.6204996,14988.06035
41,55.6320992,12.6413002,16141.25956
42,55.6327019,12.6435003,16807.20732
43,55.638401,12.4975996,16156
44,55.6341019,12.6205997,15732.20974
45,55.6346016,12.6268997,17121.21212
46,55.6334991,12.6415005,16986.08177
47,55.6341019,12.6436005,16388.26477
48,55.6334,12.6456003,18287.67123
49,55.6397018,12.4976997,12929.26791
50,55.6355019,12.6206999,16279.2542
51,55.6352997,12.6248999,17333.33333
52,55.6371994,12.6314001,16776.37842
53,55.6367989,12.6438999,15303.78673
54,55.6366997,12.6479998,17876.88636
55,55.6437988,12.4519997,14823.00885
56,55.6417007,12.5,15190.7875
57,55.639801,12.5897999,16018.78276
58,55.6375008,12.6459999,16428.83269
59,55.6404991,12.5876999,16447.36842
60,55.6397018,12.6169004,11436.18852
61,55.6395988,12.6211004,7673.267327
62,55.6388016,12.6462002,16431.39901
63,55.6450005,12.4792995,15733.33333
64,55.6450996,12.5023003,14935.22013
65,55.6409988,12.6170998,14962.7453
66,55.6405983,12.6337996,17336.11702
67,55.6467018,12.4940996,15804.0321
68,55.6450996,12.5254002,17071.03957
69,55.6456985,12.5275002,15192.17262
70,55.6479988,12.4941998,15477.30622
71,55.6464996,12.5255003,17138.82117
72,55.6469002,12.5318003,13716.81416
73,55.6445007,12.6153002,16479.64729
74,55.6495018,12.4902,16222.5265
75,55.6487999,12.4921999,16125.08958
76,55.6478004,12.5256004,15307.44379
77,55.6483994,12.5277996,15991.82695
78,55.6477013,12.5298004,17325.80692
